City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Rikitea,13,PF,1623605439,76,-23.1203,-134.9692,74.95,10.07
Hilo,40,US,1623605459,77,19.7297,-155.09,75.61,6.91
Quang Ngai,98,VN,1623605459,75,15.1167,108.8,79.3,4.45
Mataura,100,NZ,1623605460,97,-46.1927,168.8643,50.85,4.56
Vaini,40,TO,1623605460,83,-21.2,-175.2,71.76,8.05
Saint Paul Harbor,90,US,1623605460,87,57.79,-152.4072,47.71,3.44
Cape Town,0,ZA,1623605404,78,-33.9258,18.4232,58.12,4.61
Hamilton,20,US,1623605461,63,39.1834,-84.5333,90.14,1.99
Turku,0,FI,1623605462,47,60.4515,22.2687,60.42,9.22
Hermanus,89,ZA,1623605462,88,-34.4187,19.2345,57.9,4.59
Tawao,100,MY,1623605269,92,4.2498,117.8871,75.33,2.89
Balabac,100,PH,1623605463,74,7.9868,117.0645,82.13,7.58
Beberibe,59,BR,1623605463,61,-4.1797,-38.1306,89.17,9.98
Drezdenko,64,PL,1623605464,64,52.8383,15.8308,63.64,8.25
Bluff,100,NZ,1623605464,96,-46.6,168.3333,52.29,16.51
Saldanha,90,ZA,1623605465,87,-33.0117,17.9442,57.25,5.44
Upernavik,76,GL,1623605465,86,72.7868,-56.1549,35.89,2.75
Ushuaia,75,AR,1623605219,81,-54.8,-68.3,38.86,28.77
Yellowknife,75,CA,1623605459,77,62.456,-114.3525,57.72,11.5
Jamestown,75,US,1623605466,57,42.097,-79.2353,82.09,3.44
Ribeira Grande,20,PT,1623605466,83,38.5167,-28.7,72.0,6.91
Punta Arenas,0,CL,1623605254,81,-53.15,-70.9167,41.11,20.71
Tuatapere,100,NZ,1623605467,97,-46.1333,167.6833,51.53,3.89
Galesong,75,ID,1623605467,85,-5.3166,119.3661,78.82,4.27
Bambanglipuro,65,ID,1623605468,89,-7.95,110.2833,57.6,4.81
Maiduguri,66,NG,1623605468,27,11.8464,13.1603,97.99,7.14
Havøysund,100,NO,1623605469,89,70.9963,24.6622,46.63,25.23
Hobart,90,AU,1623605409,97,-42.8794,147.3294,52.27,0.0
Morondava,52,MG,1623605469,75,-20.2833,44.2833,73.27,8.63
Humaitá,90,BR,1623605470,35,-7.5061,-63.0208,94.69,1.05
Aswān,1,EG,1623605470,11,24.0934,32.907,102.58,20.74
